category,sub_category,producer,product_type,product,kosher_type,kosher_stamp,comment
"is & dessert","iskrem","Diplom-is","literis i butikk","Dream vanilla bean","m","-","-"
"is & dessert","iskrem","Diplom-is","literis i butikk","Dream vanilla bean","m","-","-"
"is & dessert","iskrem","Diplom-is","literis i butikk","Døla-is bakte epler og karamelliserte mandler","m","-","-"
"is & dessert","iskrem","Diplom-is","literis i butikk","Døla-is blåbærpai","m","-","-"
"is & dessert","iskrem","Diplom-is","literis i butikk","Døla-is ostekake med bringebær","m","-","-"
"is & dessert","iskrem","Diplom-is","literis i butikk","Døla-is rømme og jordbær","m","-","-"
"is & dessert","iskrem","Diplom-is","literis i butikk","Døla-is solbær og sjokolade","m","-","-"
"is & dessert","iskrem","Diplom-is","literis i butikk","Døla-is økologisk vaniljeis","m","-","-"
"is & dessert","iskrem","Diplom-is","literis i butikk","Favoritter braincooler","p","-","-"
"is & dessert","iskrem","Diplom-is","literis i butikk","Favoritter sjokomelk","m","-","-"
"is & dessert","iskrem","Diplom-is","literis i butikk","Fri laktosefri vaniljeis","m","-","-"
"is & dessert","iskrem","Diplom-is","literis i butikk","Fruitero bringebær & jordbær","m","-","-"
"is & dessert","iskrem","Diplom-is","literis i butikk","Fruitero mango","m","-","-"
"is & dessert","iskrem","Diplom-is","literis i butikk","Krokan","m","-","-"
"is & dessert","iskrem","Diplom-is","literis i butikk","Laktosefri vaniljeis m/sjokoladebiter","m","-","-"
"is & dessert","iskrem","Diplom-is","literis i butikk","Lett karamell","m","-","-"
"is & dessert","iskrem","Diplom-is","literis i butikk","Lett vanilje","m","-","-"
"is & dessert","iskrem","Diplom-is","literis i butikk","Mini- pia jordbær","m","-","-"
"is & dessert","iskrem","Diplom-is","literis i butikk","Royal appelsin & sjokolade royal crème brûlée","m","-","-"
"is & dessert","iskrem","Diplom-is","literis i butikk","Royal kaffe mocca","m","-","-"
"is & dessert","iskrem","Diplom-is","literis i butikk","Royal pistasj","m","-","-"
"is & dessert","iskrem","Diplom-is","literis i butikk","Royal sjokolade","m","-","-"
"is & dessert","iskrem","Diplom-is","literis i butikk","Royal skogsbær & sjokolade","m","-","-"
"is & dessert","iskrem","Diplom-is","literis i butikk","Royal vanilje fra madagaskar","m","-","-"
"is & dessert","iskrem","Diplom-is","literis i butikk","Tress","m","-","-"
"is & dessert","iskrem","Diplom-is","literis i butikk","Vanilje","m","-","-"
"is & dessert","iskrem","Diplom-is","literis i butikk","Wanted billybob "butternutter" pecan","m","-","-"
"is & dessert","iskrem","Diplom-is","literis i butikk","Wanted chuck "calypso boy" coco","m","-","-"
"is & dessert","iskrem","Diplom-is","literis i butikk","Wanted douglas "cookie m dough" vanilla","m","-","-"
"is & dessert","iskrem","Diplom-is","literis i butikk","Wanted franz "der m großmeister" choco cups","m","-","-"
"is & dessert","iskrem","Diplom-is","literis i butikk","Wanted pia 'nutty' m buttylicious","m","-","-"
"is & dessert","iskrem","Diplom-is","literis i butikk","Wanted salty "2face-sailor" m caramel","m","-","-"
"is & dessert","iskrem","Diplom-is","literis i butikk","Wanted salty "alotta" m licorice","m","-","-"

"is & dessert","iskrem","Diplom-is","iskaker, desserter og tilbehør fra butikk","Favoritter fra isbaren","p","-","-"
"is & dessert","iskrem","Diplom-is","iskaker, desserter og tilbehør fra butikk","Vaffelkjeks","-","-","Saknar info om koshertype"
"is & dessert","iskrem","Diplom-is","iskaker, desserter og tilbehør fra butikk","Fluffy coco kokosboller 4pk","p","-","-"

"is & dessert","iskrem","Diplom-is","kuleis fra isbar/Storhusholdning","Diplom-is Appelsin & sjokolade","m","-","-"
"is & dessert","iskrem","Diplom-is","kuleis fra isbar/Storhusholdning","Diplom-is Braincooler","p","-","-"
"is & dessert","iskrem","Diplom-is","kuleis fra isbar/Storhusholdning","Diplom-is Bringebær sorbet","p","-","-"
"is & dessert","iskrem","Diplom-is","kuleis fra isbar/Storhusholdning","Diplom-is Bringebærlakris","m","-","-"
