category,sub_category,producer,product_type,product,kosher_type,kosher_stamp,comment
"drikke","Kaffe, te og kakao","Freia","-","Drikkekakao","m","-","-"
"drikke","Kaffe, te og kakao","Freia","-","O’boy","m","-","-"
"drikke","Kaffe, te og kakao","Freia","-","O’boy No sugar added","m","-","-"
"drikke","Kaffe, te og kakao","Toro","-","Blåbærtoddy, 10 poser","p","-","-"
"drikke","Kaffe, te og kakao","Toro","-","Blåbærtoddy, 6 poser","p","-","-"
"drikke","Kaffe, te og kakao","Toro","-","Solbærtoddy","p","-","-"
"drikke","Kaffe, te og kakao","Toro","-","Solbærtoddy, sukkerredusert, 6 poser","p","-","-"
"drikke","Kaffe, te og kakao","Toro","-","Solbærtoddy, 10 poser","p","-","-"
"drikke","Kaffe, te og kakao","Toro","-","RIK Sjokoladedrikk","m","-","-"
"drikke","Kaffe, te og kakao","Toro","-","RIK Sjokoladedrikk Lett","m","-","-"

"drikke","Alkohol, Vin","-","-","Akevitt","p","-","-"
"drikke","Alkohol, Vin","-","-","Amaretto","p","-","-"
"drikke","Alkohol, Vin","-","-","Arak/Pastis","p","-","-"
"drikke","Alkohol, Vin","-","-","Bacardi","p","-","-"
"drikke","Alkohol, Vin","-","-","Bailey’s Original Irish Cream","m","-","-"
"drikke","Alkohol, Vin","-","-","Bols Liqueur","p","-","-"
"drikke","Alkohol, Vin","-","-","Calvados","p","-","-"
"drikke","Alkohol, Vin","-","-","Campari Bitter","p","-","-"
"drikke","Alkohol, Vin","-","-","Cherry Brandy","p","-","-"
"drikke","Alkohol, Vin","-","-","Cider","p","-","-"
"drikke","Alkohol, Vin","-","-","Cointreau","p","-","-"
"drikke","Alkohol, Vin","-","-","Drambuie","p","-","-"
"drikke","Alkohol, Vin","-","-","Eggelikør","p","-","-"
"drikke","Alkohol, Vin","-","-","Gin","p","-","-"
"drikke","Alkohol, Vin","Golan Hights Winery","-","Yarden / Gamla","p","-","-"
"drikke","Alkohol, Vin","-","-","Yarden Chardonnay","p","-","På Vinmonopolet"
"drikke","Alkohol, Vin","-","-","Gamla Cabernet Sauvignon","p","-","På Vinmonopolet"
"drikke","Alkohol, Vin","-","-","Gamla Nature Brut","p","-","På Vinmonopolet"
"drikke","Alkohol, Vin","-","-","Gamla Sangiovese","p","-","På Vinmonopolet"
"drikke","Alkohol, Vin","-","-","Terrenal Cabernet Sauvignon","p","-","På Vinmonopolet"
"drikke","Alkohol, Vin","-","-","Irish Cream","m","-","-"
"drikke","Alkohol, Vin","-","-","Kahlua","p","-","-"
"drikke","Alkohol, Vin","-","-","Kirschwasser","p","-","-"
"drikke","Alkohol, Vin","-","-","Malibu","p","-","-"
"drikke","Alkohol, Vin","-","-","Mozartlikør","m","-","-"
"drikke","Alkohol, Vin","-","-","Øl","p","-","-"
"drikke","Alkohol, Vin","-","-","Ouzo","p","-","-"
"drikke","Alkohol, Vin","-","-","Peter Heering","p","-","-"
"drikke","Alkohol, Vin","-","-","Pernod","p","-","-"
"drikke","Alkohol, Vin","-","-","Rom","p","-","-"
"drikke","Alkohol, Vin","-","-","Sambuca","p","-","-"
"drikke","Alkohol, Vin","-","-","Sheridan’s","m","-","-"
"drikke","Alkohol, Vin","-","-","Slivovitz","p","-","-"
"drikke","Alkohol, Vin","-","-","Tequila","p","-","-"
"drikke","Alkohol, Vin","-","-","Tia Maria","p","-","-"
"drikke","Alkohol, Vin","-","-","Tzuika","p","-","-"
"drikke","Alkohol, Vin","-","-","Vodka","p","-","-"
"drikke","Alkohol, Vin","-","-","Whisky/Scotch","p","-","-"
