category,sub_category,producer,product_type,product,kosher_type,kosher_stamp,comment
"snacks & godteri","godteri og sjokolade","Freia","-","Smil Mint","m","-","-"
"snacks & godteri","godteri og sjokolade","Freia","-","Walters Mandler","m","-","-"

"snacks & godteri","godteri og sjokolade","Jelly Belly","-","Alle typer som er merket OU","-","OU","-"

"snacks & godteri","godteri og sjokolade","Läkerol","-","Läkerol BonBons","p","-","-"
"snacks & godteri","godteri og sjokolade","Läkerol","-","Läkerol Cassis","p","-","-"
"snacks & godteri","godteri og sjokolade","Läkerol","-","Läkerol Eukalyptus","p","-","-"
"snacks & godteri","godteri og sjokolade","Läkerol","-","Läkerol Original","p","-","-"
"snacks & godteri","godteri og sjokolade","Läkerol","-","Läkerol Salvi","p","-","-"
"snacks & godteri","godteri og sjokolade","Läkerol","-","Läkerol Special","p","-","-"
"snacks & godteri","godteri og sjokolade","Läkerol","-","Läkerol Sweet Liquorice","p","-","-"
"snacks & godteri","godteri og sjokolade","Läkerol","-","Läkerol Yuzo","p","-","-"

"snacks & godteri","godteri og sjokolade","Lindt","-","Creation Milk Chocolate Cake","m","-","-"
"snacks & godteri","godteri og sjokolade","Lindt","-","Creation Milk Creme Brulee","m","-","-"
"snacks & godteri","godteri og sjokolade","Lindt","-","Creation Milk Hazelnut de Luxe","m","-","-"
"snacks & godteri","godteri og sjokolade","Lindt","-","Creation Milk Pistachio Delight","m","-","-"
"snacks & godteri","godteri og sjokolade","Lindt","-","Creation Milk Raspberry Dream","m","-","-"
"snacks & godteri","godteri og sjokolade","Lindt","-","Creation Milk Refreshing Lemon","m","-","-"
"snacks & godteri","godteri og sjokolade","Lindt","-","Excellence Dark 70%","p","-","-"
"snacks & godteri","godteri og sjokolade","Lindt","-","Excellence Dark 85%","p","-","-"
"snacks & godteri","godteri og sjokolade","Lindt","-","Excellence Dark 99%","p","-","-"
"snacks & godteri","godteri og sjokolade","Lindt","-","Excellence Dark Intense Blueberry","m","-","-"
