category,sub_category,producer,product_type,product,kosher_type,kosher_stamp,comment
"helsekost","Vegetarretter","Hälsans kök","-","Filetbiter","p","-","-"
"helsekost","Vegetarretter","Hälsans kök","-","Färs","p","-","-"
"helsekost","Vegetarretter","Hälsans kök","-","Grillade bitar","p","-","-"
"helsekost","Vegetarretter","Hälsans kök","-","Grillade fileer","p","-","-"
"helsekost","Vegetarretter","Hälsans kök","-","Grillade filéer","p","-","-"
"helsekost","Vegetarretter","Hälsans kök","-","Grytbitar","p","-","-"
"helsekost","Vegetarretter","Hälsans kök","-","Linseburger","p","-","-"
"helsekost","Vegetarretter","Hälsans kök","-","Schnitzel","p","-","-"
"helsekost","Vegetarretter","Hälsans kök","-","Sesam Nuggets","p","-","-"
"helsekost","Vegetarretter","Hälsans kök","-","Soja Chorizo","p","-","-"
"helsekost","Vegetarretter","Hälsans kök","-","Sojakorv","p","-","-"
"helsekost","Vegetarretter","Hälsans kök","-","Soyafarse","p","-","-"
"helsekost","Vegetarretter","Hälsans kök","-","Soyapølse","p","-","-"
"helsekost","Vegetarretter","Hälsans kök","-","Toscanske biffer","p","-","-"
"helsekost","Vegetarretter","Hälsans kök","-","Vegefärs","p","-","-"
"helsekost","Vegetarretter","Hälsans kök","-","Vegeschnitzel","p","-","-"
"helsekost","Vegetarretter","Hälsans kök","-","Vegetarboller","p","-","-"
"helsekost","Vegetarretter","Hälsans kök","-","Vegetarnuggets","p","-","-"
"helsekost","Vegetarretter","Hälsans kök","-","Vegetarstrimler","p","-","-"
"helsekost","Vegetarretter","Hälsans kök","-","Veggisar quinoa","p","-","-"
"helsekost","Vegetarretter","Hälsans kök","-","Vegostrimlor","p","-","-"
"helsekost","Vegetarretter","Gardein","-","Chipotle black bean burger","p","-","-"
"helsekost","Vegetarretter","Gardein","-","Golden Fishless Filet","p","-","-"
"helsekost","Vegetarretter","Gardein","info","Kun produkter som er med BC K stempel er koshersertifisert, Gardein har flere til salgs som IKKE er kosher.","-","-","-"
"helsekost","Vegetarretter","Quorn","-","Färs","m","-","-"
"helsekost","Vegetarretter","Quorn","-","Bitar (lyse og mørke)","m","-","-"
"helsekost","Vegetarretter","Quorn","-","Quornfileter","m","-","-"

