category,sub_category,producer,product_type,product,kosher_type,kosher_stamp,comment

"bakevarer","bakerier","Godt brød","-","Alle brød, hveteboller, rosinboller, rundstykker og skillingsboller (uten vaniljekrem)","p","-","-"
"bakevarer","bakerier","Godt brød","-","Alle boller som inneholder vaniljekrem, rundstykker og skillingsboller (uten vaniljekrem)","m","-","-"
"bakevarer","bakerier","Godt brød","-","Nøttekake og mandelmakroner","p","-","-"
"bakevarer","bakerier","Godt brød","-","Alle andre kaker","m","-","-"
"bakevarer","bakerier","Godt brød","-","Pizza og andre bakevarer med ost er ikke kosher.",ik,"-","-"

"bakevarer","bakerier","Åpent bakeri","-","Quiche","ik","-","-"
"bakevarer","bakerier","Åpent bakeri","-","Sandwich","ik","-","-"
"bakevarer","bakerier","Åpent bakeri","-","Toast","ik","-","-"
"bakevarer","bakerier","Åpent bakeri","-","Grissini","ik","-","-"
"bakevarer","bakerier","Åpent bakeri","-","Marshmallows","ik","-","-"
"bakevarer","bakerier","Åpent bakeri","-","Alle brød","p","-","-"
"bakevarer","bakerier","Åpent bakeri","-","Boller","m","-","-"
"bakevarer","bakerier","Åpent bakeri","-","Croissant","m","-","-"
"bakevarer","bakerier","Åpent bakeri","-","Kaker","m","-","-"
"bakevarer","bakerier","Åpent bakeri","-","info","-","-","Ønsker man å bestille kake, tar man kontakt med Åpent Bakeri sentralt på telefon 22049667 og snakker med en konditor for å bestille. Merk at kakene må være uten gelatin."

"bakevarer","brød og rundstykker","Bakehuset","-","Alle brød rundstykker og småbrød som inneholder melk","ik","-","-"
"bakevarer","brød og rundstykker","Bakehuset","-","Bakerns ferske loff","ik","-","inneholder melk"
"bakevarer","brød og rundstykker","Bakehuset","-","Møllhausens spiralloff","ik","-","inneholder melk"
"bakevarer","brød og rundstykker","Bakehuset","-","Brød","p","-","-"
"bakevarer","brød og rundstykker","Bakehuset","-","Baguetter","p","-","-"
"bakevarer","brød og rundstykker","Bakehuset","-","Grove frokostbrød, ostebriks, ostehorn, osterundstykke, MB ostebrød, pizzastykke og MN osteflute er ikke kosher.","ik","-","inneholder melk"
"bakevarer","brød og rundstykker","Bakehuset","-","Pølse- og hamburgerbrød","p","-","-"

"bakevarer","brød og rundstykker","Pågen","-","Alle brød","p","-","-"
"bakevarer","brød og rundstykker","First Price","-","Loff","p","-","-"
"bakevarer","brød og rundstykker","First Price","-","Kneipp","p","-","-"
"bakevarer","brød og rundstykker","Euroshopper","-","Loff","p","-","-"
"bakevarer","brød og rundstykker","Euroshopper","-","Kneipp","p","-","-"

"bakevarer","brød og rundstykker","Hatting","-","Grove Rundstykker","p","-","-"
"bakevarer","brød og rundstykker","Hatting","-","Møllehjul","p","-","-"
"bakevarer","brød og rundstykker","Hatting","-","Havrestykker","p","-","-"
"bakevarer","brød og rundstykker","Hatting","-","Håndværker m/solsikkekjerner","p","-","-"
"bakevarer","brød og rundstykker","Hatting","-","Håndværker m/gresskarkjerner","p","-","-"
"bakevarer","brød og rundstykker","Hatting","-","Hvitløksbaguetter- alle typer /all types","m","-","-"
"bakevarer","brød og rundstykker","Hatting","-","Bagels - alle typer /all types","p","-","-"
"bakevarer","brød og rundstykker","Hatting","-","Pita - alle typer /all types","p","-","-"
"bakevarer","brød og rundstykker","Hatting","-","Veggen Spelt","p","-","-"
"bakevarer","brød og rundstykker","Hatting","-","Veggen Fuldkorn","p","-","-"
"bakevarer","brød og rundstykker","Hatting","-","Stenovnsbagte Rundstykker","p","-","-"
"bakevarer","brød og rundstykker","Hatting","-","Gourmetstykker","p","-","-"
"bakevarer","brød og rundstykker","Hatting","-","Rustikke Håndverkere","p","-","-"
"bakevarer","brød og rundstykker","Hatting","-","Franske Hotdogbrød","p","-","-"
"bakevarer","brød og rundstykker","Hatting","-","Pølse og hamburgerbrød / Alle typer","p","-","-"

"bakevarer","brød og rundstykker","Polarbrød","-","Alle sorter","p","-","-"
"bakevarer","brød og rundstykker","Santa Maria","-","Mexican Pita","p","-","-"

"bakevarer","kaker og boller","Almondy","-","Mandelkake med mørk sjokolade","m","-","-"
"bakevarer","kaker og boller","Almondy","-","Mandelkake med daim","m","-","-"
"bakevarer","kaker og boller","Almondy","-","Mandelkake","m","-","-"
"bakevarer","kaker og boller","Almondy","-","Mandelkake med Snickers","m","-","-"

"bakevarer","kaker og boller","Bakehuset","hvetebakst","Hveteboller 8 pk","mprod","-","-"
"bakevarer","kaker og boller","Bakehuset","hvetebakst","Rosinboller 8 pk","mprod","-","-"
"bakevarer","kaker og boller","Bakehuset","hvetebakst","Kanelboller 8 pk","mprod","-","-"
